Id,Sku,Title,Locations,Hybridizer,Released,Colors
3311,3311,Germanica L.,PR-1-26,Carolus Linneaus,1753,
1000,1000-TB,Absolute Crush,A-28-3,Schreiner,2015,Pink & Lavender
1001,1001-TB,Absolute Treasure,A-27-1,"Tasco, Richard",2006,Blue
1002,1002-TB,Adoregon,A-18-2,Keith Keppel,2004,Blue
1003,1003-TB,All About Spring,A-31-4,"Kerr, Frederick",2006,Lavender
1004,1004-TB,American Classic,A-33-2,Schreiner,1996,Blue-Violet
1005,1005-TB,Art Deco,A-35-1,Schreiner,1997,Blue
1006,1006-TB,Autumn Tryst,A-23-3,"Weiler, John",1993,Lavender
1007,1007-TB,Bellini,A-27-4,Schreiner,2017,Pink and Lavender
1008,1008-TB,Berry FulFilling,A-19-2,Schreiner,2013,Claret
1009,1009-TB,Black is Black,A-23-5,Schreiner,2010,Black
1010,1010-TB,Black Suited,A-29-3,"Innerst, Sterling",2000,Black
1011,1011-TB,Blueberry Bliss,A-1-1,Schreiner,2004,Violet
1012,1012-TB,Blushing Kiss,A-23-4,Schreiner,2002,Pink
1013,1013-TB,Celebration Song,A-5-1,Schreiner,1993,Pink and Lavender
1014,1014-TB,Champagne And Strawberries,A-21-3,"Blyth, Barry",2007,White and Tan
1015,1015-TB,Chasing Rainbows,A-39-1,"Hager, Ben",1998,Pink and Violet
1016,1016-TB,Clarence,A-20-2,"Zurbrigg, Lloyd",1991,Light Blue-Violet
1017,1017-TB,Class Ring,A-13-2,Keith Keppel,2010,White and Red
1018,1018-TB,Devil's Lake,A-12-3,Schreiner,1999,Medium Blue
1019,1019-TB,Discovered Treasure,A-16-1,"Johnson, Thomas",2005,Pink and Violet
1020,1020-TB,Downtown Brown,A-1-2,Schreiner,2013,Brown
1021,1021-TB,Dream of You,A-11-2,"Kerr, Frederick",1994,Blue
1022,1022-TB,Elegance in Blue,A-19-1,Schreiner,2004,Blue
1023,1023-TB,Florentine Silk,"A-4-4,  B-4-0",Keith Keppel,2005,Lavender/Peach
1024,1024-TB,Frimousse,A-20-1,"Cayeux, Richard",2000,Peach
1025,1025-TB,Ghirardelli Square,"A-31-2,  B-1-1",Keith Keppel,2016,Red/Cream
1026,1026-TB,Girly Girl,A-21-1,Schreiner,2013,White and Lavender
1027,1027-TB,Gnus Flash,A-10-6,"Kasperek, Brad",1996,Cream-Rose
1028,1028-TB,Hemstitched,A-27-3,"Hager, Ben",1990,Blue
1029,1029-TB,Honky Tonk Blues,A-18-1,Schreiner,1988,Medium Blue
1030,1030-TB,In Living Color,A-7-5,"Black, Paul",2004,Yellow and Rose
1031,1031-TB,Just Like Heaven,A-27-2,Schreiner,2010,Light Blue / White
1032,1032-TB,Lady Friend,A-22-4,"Ghio, Joseph",1981,Garnet-Rose
1033,1033-TB,Las Vegas,"6-W-41,  A-37-2",Monty Byers,1989,
1034,1034-TB,Linda Nelson,A-8-8,Schreiner,2014,Orchid / White
1035,1035-TB,Lovely Senorita,"4-W-4,  A-26-2",Schreiner,2002,Orange
1036,1036-TB,Mayberry,A-21-2,Schreiner,2019,Orchid / White
1037,1037-TB,Mean Streak,A-9-7,"Ensminger, Allan",1995,Lavender-Pink and Magenta
1038,1038-TB,On the Move,A-15-1,Schreiner,2006,Violet / White
1039,1039-TB,Orange King,A-30-3,Schreiner,2008,Orange
1040,1040-TB,Orange Titan,A-17-4,Aitken,2007,White and Orange
1041,1041-TB,Overjoyed,A-34-4,"Gatty, Joseph/Keith Keppel",1994,White / Yellow
1042,1042-TB,Petticoat Shuffle,"A-14-1,  C-38-8",Schreiner,2010,Violet
1043,1043-TB,Play With Fire,A-16-3,Schreiner,1987,Red
1045,1045-TB,Pride of Ireland,A-18-4,"Noyd, L.",1971,Yellow
1046,1046-TB,Rock Star,"10-W-28,  A-24-2","Byers, Monty",1991,Rose
1047,1047-TB,Sea of Love,A-28-2,"Lauer, Larry",2005,Lavender
1048,1048-TB,Sorbonne,A-17-1,Keith Keppel,2009,Red
1049,1049-TB,Spirit Rider,A-15-4,Schreiner,2013,Purple/White
1050,1050-TB,Splashacata,A-34-3,"Tasco, Richard",1998,Pale Lavender Violet
1051,1051-TB,Supreme Sultan,A-29-1,Schreiner,1988,Yellow and Red
1052,1052-TB,Swept Off My Feet,A-36-2,Schreiner,2014,White and Purple
1053,1053-TB,Tiger Honey,A-2-2,"Kasperek, Brad",1994,Yellow and White
1054,1054-TB,Undercurrent,A-20-4,Keith Keppel,2004,Peach and Purple
1055,1055-TB,Valentino,A-16-2,"Painter, John",2007,Red
1056,1056-TB,Wench,A-1-3,"Miller, Lynda",1993,Purple and Pink
1057,1057-TB,Wintry Sky,"10-W-46,  A-18-3",Keith Keppel,2002,Blue / White
1058,1058-TB,Wonders Never Cease,A-17-2,"Black, Paul",2007,Brown and Cream
1059,1059-TB,Angel's Rest,A-5-3,Schreiner,2021,Pink
1060,1060-TB,Sunny Glitter,A-9-4,Schreiner,2019,Yellow/Blue
1061,1061-TB,Cascade Locks,A-13-4,Schreiner,2021,Purple and White
1062,1062-TB,Garden Time,A-15-2,Schreiner,2017,Yellow
1063,1063-TB,Just The Ticket,"6-E-38,  A-14-2",Schreiner,2018,White and Purple
1064,1064-TB,Nestucca Rapids,A-22-3,Schreiner,2018,Blue
1065,1065-TB,Oregon Firestorm,A-13-1,Schreiner,2021,Yellow
1066,1066-IB,August Treat,A-37-1,J. Terry Aitken,2012,Blue-Lavender
1067,1067-TB,Autumn Riesling,A-15-3,Schreiner,2006,Orange
1068,1068-TB,Bee My Honey,A-33-1,Schreiner,2016,Yellow and Red
1069,1069-TB,Best Bet,A-9-1,Schreiner,1988,Blue
1070,1070-TB,Better Than Butter,A-19-3,"Black, Paul",2010,White & Yellow
1071,1071-TB,Blind Ambition,"A-22-7,  B-46-1",Keith Keppel,2016,Yellow
1072,1072-IB,Blueberry Filly,A-35-2,"Kasperek, Brad",2000,Reddish Violet
1073,1073-TB,Blutique,A-30-1,"Messick, Virginia",1998,Blue and White
1074,1074-TB,Blush Hour,A-6-2,Schreiner,2016,Pink
1075,1075-TB,Boston Cream,A-2-3,Keith Keppel,2014,White
1076,1076-TB,Breaking Point,A-4-2,"Sutton, Michael",2007,White with Purple
1077,1077-TB,Breezin,A-38-3,Schreiner,2018,White and Burgundy
1078,1078-TB,Brouhaha,A-34-1,"Ghio, Joseph",2012,Apricot/Purple
1079,1079-TB,Butterlicious,A-32-4,Schreiner,2018,Apricot
1080,1080-TB,Café Bleu,A-22-6,"Blyth, Barry",2001,Blue
1081,1081-TB,Candy Coating,A-32-1,Schreiner,2018,Pink
1082,1082-TB,Cantina,A-36-3,"Byers, Monty",1990,Violet
1083,1083-TB,Care to Dance,A-33-4,Schreiner,2013,Cream Rose
1084,1084-TB,Catch Your Breath,A-4-1,Schreiner,2019,Lavender
1085,1085-TB,Center Ice,A-12-1,"Ghio, Joseph",2010,White and Purple
1086,1086-TB,Cherry Blossom Song,A-30-4,Schreiner,2002,Lavender-Pink
1087,1087-TB,Chinook Winds,A-14-3,"Johnson, Thomas",2003,Blue
1088,1088-TB,Cinque Terre,A-26-3,Schreiner,2011,Russet
1089,1089-TB,Cloud Dweller,"20-W-7,  A-10-2",Schreiner,2018,Light Yellow
1090,1090-TB,Coffee Trader,A-20-3,"Blyth, Barry",2007,Brown
1091,1091-TB,Cordoba,A-12-2,"Ghio, Joseph",1998,Orange
1092,1092-TB,Cosmic Voyage,"A-22-1,  B-30-2,  C-30-0",Keith Keppel,2017,Red and Yellow
1093,1093-TB,Cotillion Gown,"A-36-4,  B-36-0",Keith Keppel,2013,Yellow
1094,1094-TB,Damsel in a Dress,A-6-1,Schreiner,2014,Pink and Purple
1095,1095-TB,Dangerous Mood,A-24-1,Schreiner,2004,Blue and Black
1096,1096-IB,Vitrail,2-E-42,Cayeux,2003,
1097,1097-TB,Edith Wolford,"A-3-4,  B-3-0","Hager, Ben",1986,Yellow and Lavender
1098,1098-TB,Enraptured,A-8-1,Schreiner,2016,Lavender & Apricot
1099,1099-TB,Entitled,A-19-4,Schreiner,2017,Pink
1100,1100-TB,Express Yourself,A-33-3,Schreiner,2017,Brown and Purple
1101,1101-TB,Fancy Ideas,A-21-4,Keith Keppel,2013,Red Purple
1102,1102-TB,Fiesta in Blue,A-19-5,Schreiner,2002,Blue
1103,1103-TB,Final Episode,A-30-2,"Blyth, Barry",2002,Yellow and Violet
1104,1104-TB,Find Your Fade,A-4-3,Schreiner,2018,Rose-Lilac
1105,1105-TB,Foolish Dreamer,"A-22-8,  B-22-0",Keith Keppel,2011,Purple and Yellow
1106,1106-TB,Funday Monday,A-3-3,Schreiner,2017,Cream and Rose
1107,1107-TB,Gambling Man,A-5-2,Keith Keppel,2014,Violet/Yellow
1108,1108-TB,Get Back,"A-21-5,  B-21-0","Lauer, Larry",2015,White and Purple
1109,1109-TB,Gingersnap,"A-32-5,  B-32-0",Schreiner,1965,Brown
1110,1110-IB,Go Chloe,"A-25-4,  B-25-0","Blyth, Barry",2011,Pink
1111,1111-TB,Goldkist,A-36-1,"Black, Paul",1993,White
1112,1112-TB,Gotham,A-33-5,Schreiner,2022,Purple and Black
1113,1113-TB,Grand Canyon Sunset,A-17-3,Schreiner,2011,Apricot-Violet
1114,1114-TB,Great Balls of Fire,A-39-2,Aitken,2011,Orange
1115,1115-TB,Gulfport,A-2-1,Schreiner,2022,White and Purple
1116,1116-TB,Gypsy Lord,A-25-3,Keith Keppel,2006,"Red, White and Blue"
1117,1117-TB,High Desert,"9-W-44,  A-28-1",Keith Keppel,2015,Yellow/Purple
1118,1118-TB,Honeycomb,A-25-2,"Lauer, Larry",2006,Yellow Blend
1120,1120-TB,I Pink I Can,A-22-2,Schreiner,2013,Pink
1121,1121-TB,Idol,A-1-4,"Ghio, Joseph",1999,Apricot-Purple
1122,1122-TB,Infrared,A-10-4,"Ghio, Joseph",2002,Red
1123,1123-TB,June Krausse,A-29-2,Schreiner,2009,Pink
1124,1124-TB,Lady Leigh,"A-26-4,  B-26-0",Larry Lauer,2012,lavender / Wine Yellow
1125,1125-TB,Magical,"18-W-21,  A-3-1","Ghio, Joseph",2008,Pink
1126,1126-TB,Margin Call,"A-31-1,  B-45-2",Keith Keppel,2017,Yellow and Purple
1127,1127-TB,Mariposa Skies,A-35-4,"Tasco, Richard",1996,Blue
1128,1128-TB,Marrying Kind,A-32-2,Keith Keppel,2015,Pink/Lavender
1129,1129-TB,Mexican Holiday,A-9-6,Schreiner,2004,Gold and Red-Purple
1130,1130-TB,Millennium Falcon,A-31-3,"Kasperek, Brad",2000,Blue and Violet
1131,1131-TB,Mimosa,A-25-1,"Sutton, Michael",2010,Cream
1132,1132-TB,Montmartre,A-3-2,Keith Keppel,2008,Purple
1134,1134-TB,Mother Earth,A-38-1,"Hager, Ben",1988,Lavender-Orchid
1135,1135-TB,Mr. Moonlight,A-38-2,Schreiner,2012,White
1136,1136-TB,Muscle Shoals,A-34-2,Schreiner,2022,Cream and Red-Violet
1137,1137-TB,Off The Shoulder,A-35-3,Schreiner,2019,Dark Purple
1138,1138-TB,Old School,A-13-6,Schreiner,2019,Purple
1139,1139-TB,On Deck,A-40-4,Schreiner,2017,White and Purple
1140,1140-TB,Open Ocean,A-14-5,Schreiner,2016,Blue
1141,1141-TB,Oui Madame,"A-24-3,  B-24-0",Schreiner,2013,Lavender
1142,1142-TB,Out Walkin,A-40-3,Schreiner,2013,Red and White
1143,1143-TB,Padded Shoulders,A-13-3,"Black, Paul",2005,Peach
1144,1144-TB,Paradise Valley,"A-7-2,  C-1-3",Schreiner,2022,White and Pink
1145,1145-TB,Parisian Dawn,A-14-4,Keith Keppel,2006,Apricot
1146,1146-TB,Peach Jam,A-13-5,"Ensminger, Allan",1989,Peach and Magenta
1147,1147-TB,Peach State,A-8-5,Schreiner,2022,Peach
1148,1148-IB,Persnickety,A-11-3,Keith Keppel,2009,Tannish Apricot
1149,1149-TB,Picture Book,A-9-5,"Ghio, Joseph",2007,Pink
1150,1150-TB,Polite Applause,A-38-6,"Ghio, Joseph",2011,Pink and Lavender
1151,1151-TB,Presby's Crown Jewel,A-40-2,"Tragitt, H. N. by Schreiner's Gardens",2002,Blue
1152,1152-TB,Recurring Delight,A-7-3,"Lauer, Larry",1998,Yellow and Lavender
1153,1153-TB,Restless Spirit,"A-8-2,  B-2-2",Keith Keppel,2017,Lavender and Cream
1154,1154-TB,Rip City,A-37-3,Schreiner,1999,Red
1155,1155-TB,Rum Is The Reason,"A-29-4,  B-29-0",Schreiner,2017,Tan/Lavender/Wine 
1156,1156-TB,Russian River,A-39-5,Schreiner,2022,Lavender
1158,1158-TB,Sequim,"A-34-5,  B-34-0",Schreiner,2022,Lavender
1159,1159-TB,Seward,A-38-4,Schreiner,2022,Purple
1160,1160-TB,Silken Trim,A-23-1,Schreiner,2012,Red
1161,1161-TB,Slovak Prince,A-39-3,"Mego, Anton",2003,Lavender and Violet
1162,1162-TB,Society Page,A-14-6,"Ghio, Joseph",2000,Pink
1163,1163-TB,Spendthrift,A-9-3,Keith Keppel,2012,Orange and Purple
1164,1164-TB,Starting Fresh,"A-10-9,  C-43-4",Schreiner,2016,White
1165,1165-TB,Struck Twice,A-38-5,"Lauer, Larry",2009,White and Pink
1166,1166-TB,Sunshine State,A-11-1,Schreiner,2022,Yellow and White
1167,1167-TB,Tanzanite Twinkle,C-47-4,Schreiner,2017,White and Purple
1168,1168-TB,Toucan Tango,A-10-1,"Kasperek, Brad",2000,Yellow-Purple
1169,1169-TB,Tumalo Sunset,A-11-4,Schreiner,2009,Orange
1170,1170-TB,Vicar,A-23-2,Schreiner,2011,Violet
1171,1171-TB,Waterline,A-10-8,Keith Keppel,2012,Blue
1172,1172-TB,Wildcat Red,A-26-1,Schreiner,2018,Red
1173,1173-TB,World Premier,"A-12-5,  B-12-0",Schreiner,1998,Blue
1174,1174-TB,Air of Mystery,A-8-9,"Blyth, Barry",2007,Yellow and Purple
1175,1175-TB,Autumn Circus,A-40-1,"Hager, Ben",1990,Blue-Violet
1176,1176-TB,Awakening Embers,A-8-6,Schreiner,2019,Black
1177,1177-BB,Baboon Bottom,A-20-5,"Kasperek, Brad",1994,Pink
1178,1178-TB,Can't Touch This,A-12-4,Schreiner,2004,White and Blue
1179,1179-TB,Carnival of Color,A-35-5,"Black, Paul",2009,Pink with dark violet and tan
1180,1180-TB,Center Line,A-22-5,"Johnson, Thomas",2011,Pink
1181,1181-TB,Cheetah Cheese,A-10-3,"Kasperek, Kathie",2001,Orange Apricot
1182,1182-TB,Coyote Ugly,A-10-7,"Kasperek, Kathie",2007,Pink and Yellow
1183,1183-TB,Easter Candy,"14-W-75,  A-10-5",Keith Keppel,2011,Yellow and Blue
1184,1184-TB,Edgefield Glow,A-8-3,Schreiner,2011,Orange
1185,1185-TB,Gentle Reminder,A-7-1,Keith Keppel,2014,Yellow and Purple
1186,1186-TB,Insaniac,"18-W-23,  A-9-8","Johnson, Thomas",2012,White/Burgundy
1187,1187-TB,Let Evening Come,A-8-4,Schreiner,2018,Yellow
1188,1188-TB,Otherside of Heaven,"A-9-2,  C-40-6","Ghio, Joe",2013,Pink
1189,1189-TB,Owyhee Desert,A-39-4,Lucille Pinkston,1996,Copper / Brown / Gold /White
1190,1190-TB,Poem of Ecstasy,A-32-3,"Hager, Ben",1997,Pink-Lavender
1191,1191-TB,Side Line,A-8-7,Schreiner,2019,Tan/Red
1192,1192-TB,Ziggy,A-7-4,Virginia Keyser,1997,White / Wine / Yellow
1193,1193-TB,Black Cherry Blast,9-W-20,J.T. Aitken,2018,
1194,1194-TB,Illyrian,"5-E-8,  9-W-30",Marky Smith,2018,
1195,1195-TB,I'm Back,9-W-24,Thomas Johnson,2007,
1196,1196-TB,Land Down Under,9-W-23,Thomas Johnson,2013,
1197,1197-TB,Peach Mocha,"9-W-27,  C-5-5",J.T. Aitken,2019,
1198,1198-TB,Red Triumph,9-W-29,J.T. Aitken,2017,
1199,1199-TB,Renascent,9-W-17,Ben Hager,2005,
1200,1200-TB,Santa Cruz Surf,9-W-21,Joseph Ghio,2019,
1201,1201-TB,Sunny Morning,9-W-26,J.T. Aitken,2018,
1202,1202-TB,All American,4-E-52,Monty Byers,1992,
1203,1203-TB,Beau Zam,4-E-48,P. Blyth,1987,
1204,1204-TB,Cherry Blossom Special,7-W-53,Jim Hedgecock,2000,
1205,1205-TB,Crashing Wave,5-E-54,David Silverberg,1986,
1206,1206-TB,Happy New Year,"2-E-36,  8-E-15",Monty Byers,1990,
1207,1207-TB,Major Tom,1-E-17,Larry Lauer,2003,
1208,1208-TB,St. Helens' Wake,1-E-22,Richard Ernst,1984,
1209,1209-TB,Secret Rites,"7-E-57,  PR-5-34,  B-12-2",Keith Keppel,2005,
1211,1211-TB,Sweet Ballerina,6-W-52,Richard Ernst,1997,
1212,1212-TB,Above The Rim,15-E-60,Michael Sutton,2011,
1213,1213-TB,Adoree,15-E-65,Barry Blyth,2009,
1214,1214-TB,Adventurous,15-E-64,Michael Sutton,2010,
1215,1215-TB,Afternoon Delight,15-E-66,Richard Ernst,1985,
1216,1216-TB,Announcement,"15-E-69,  A-45-26",Paul Black,2002,
1217,1217-TB,Baby Duck,15-E-62,Douglas Kanarowski,2016,
1218,1218-TB,Bandwidth,15-E-59,Michael Sutton,2010,
1219,1219-TB,Big Hat No Cows,15-E-49,Douglas Kanarowski,2016,
1220,1220-TB,Bombshell Betty,15-E-63,Catherine Burgard,2017,
1221,1221-TB,Bon Appetit,15-E-50,J.T. Aitken,2006,
1222,1222-TB,Boss Tweed,15-E-56,James McWhiter,1993,
1223,1223-TB,Brick House,15-E-70,Catherine Burgard,2018,
1224,1224-TB,Brilliant Disguise,15-E-58,Thomas Johnson,2008,
1225,1225-TB,Brilliant Idea,"15-E-55,  B-16-2",Keith Keppel,2009,
1226,1226-TB,Careless Whisper,15-E-44,Barry Blyth,2008,
1227,1227-TB,Coffee Whispers,15-E-43,Barry Blyth,1999,
1228,1228-TB,Cold Creek,15-E-47,Michael Sutton,2011,
1229,1229-TB,Comedy,15-E-54,Joseph Ghio,2007,
1230,1230-TB,Cool Operator,15-E-53,Michael Sutton,2016,
1231,1231-TB,Deal Or No Deal,15-E-52,Paul Black,2014,
1232,1232-TB,Deliciously Different,15-E-51,J.T. Aitken,2004,
1233,1233-TB,Doctor Who,15-E-45,George Sutton,2009,
1234,1234-TB,Drinks At Sunset,C-7-6,Barry Blyth,2002,
1235,1235-TB,Dusky Challenger,15-E-38,Schreiner,1986,
1236,1236-TB,Edge Of the World,15-E-39,Michael Sutton,2011,
1237,1237-TB,Embers Of Time,C-20-6,George Sutton,2009,
1238,1238-TB,Falcon Pride,C-8-2,Schreiner,2007,
1239,1239-TB,Fogbound,15-E-48,Keith Keppel,1998,
1240,1240-TB,Forever Blowing Bubbles,15-E-57,Joseph Ghio,2006,
1241,1241-TB,French Cancan,15-E-40,Cayeux,2002,
1242,1242-TB,Grain Exchange,15-E-71,Joyce Ragle,2007,
1243,1243-TB,Grandma Bobbie,15-W-56,Catjerome Burgard,2017,
1244,1244-TB,Huckleberry Sundae,C-21-7,Thomas Johnson,2014,
1245,1245-TB,In The Spotlight,15-W-52,Michael Sutton,2006,
1246,1246-TB,Into The Blue,"8-E-13,  C-36-2",Schreiner,2007,
1247,1247-TB,Jealous Halo,15-W-51,John Painter,2005,
1248,1248-TB,Kickapoo Kangaroo,15-W-53,Brad Kasperek,2008,
1249,1249-TB,La Scala,15-W-55,Keith Keppel,2008,
1250,1250-TB,Let It Be Me,15-W-54,Lowell Baumunk,2014,
1251,1251-TB,Love Is All Around,15-W-48,J.T. Aitken,2005,
1252,1252-TB,Millennium Sunrise,15-W-46,Schreiner,2000,
1253,1253-TB,Momentous Occasion,15-W-43,George Sutton,2000,
1254,1254-TB,Needlepoint,15-W-47,Schreiner,1983,
1255,1255-TB,New Face,15-W-42,Paul Black,2008,
1256,1256-TB,Orange Toffee,15-W-38,Michael Sutton,2011,
1257,1257-TB,Over The Edge,15-W-37,Michael Sutton,2006,
1258,1258-TB,Patriotic Heart,15-W-34,William Maryott,2001,
1259,1259-TB,Peanutbutter And Jelly,C-7-2,Catherine Burgard,2015,
1260,1260-TB,Peggy Sue,"15-W-45,  PR-1-27",Larry Lauer,2006,
1261,1261-TB,Pleasure State,15-W-49,Barry Blyth,2007,
1262,1262-TB,Plot Line,15-W-36,Joseph Ghio,2011,
1263,1263-TB,Plum Poodle,15-W-40,L. & K. Jedlicka,2007,
1264,1264-TB,Pop Idol,15-W-44,Joseph Ghio,2008,
1265,1265-TB,Red Handed,15-E-68,Joseph Ghio,2008,
1266,1266-TB,Red Rock Canyon,15-W-33,Michael Sutton,2008,
1267,1267-TB,Red Skies,15-W-35,Joseph Ghio,2007,
1268,1268-TB,Redhead Winifred,15-E-74,L. & K. Jedlicka,2010,
1269,1269-TB,Restless Heart,15-W-31,Keith Keppel,2006,
1270,1270-TB,Rhinelander,15-E-35,Schreiner,2006,
1271,1271-TB,Rim Of Fire,15-W-30,Michael Sutton,2011,
1272,1272-TB,Rock Band,15-W-29,Michael Sutton,2010,
1273,1273-TB,Saturn,15-W-32,Thomas Johnson,2005,
1274,1274-TB,Second Helping,15-E-32,Michael Sutton,2010,
1275,1275-TB,Secret Partner,15-E-31,Keith Keppel,2009,
1276,1276-TB,Shadows Of Night,15-W-58,Richard Tasco,2006,
1277,1277-TB,Sky King Returns,15-E-28,Larry Lauer,2003,
1278,1278-TB,Spice Trader,"C-6-1,  C-42-9",John Painter,2010,
1279,1279-TB,Stan Coates,15-E-76,Lesley Painter,2010,
1280,1280-TB,Sweet Latte,15-E-30,George Sutton,2010,
1281,1281-TB,Tennison Ridge,15-E-73,J. Begley by McWhirter,1989,
1282,1282-TB,Tijuana Taxi,15-E-41,Douglas Kanarowski,2014,
1283,1283-TB,Trial By Fire,15-E-75,Joseph Ghio,2006,
1284,1284-TB,Twilight Of The Gods,15-E-67,Chun Fan,2007,
1285,1285-TB,Uplifting,15-E-29,Michael Sutton,2008,
1286,1286-TB,Wedding Night,15-E-72,Joseph Ghio,2009,
1287,1287-TB,Whispering Spirits,15-E-36,Richard Ernst,2001,
1288,1288-TB,Wise Wish,15-E-37,Donald Spoon,2003,
1289,1289-TB,Wizard Of Odds,"16-W-19,  C-41-2",Paul Black,2009,
1290,1290-TB,Zesting Lemons,15-E-34,Richard Ernst,2008,
1291,1291-TB,Above The Fray,11-E-35,Hugh Stout,2020,
1292,1292-TB,Afternoon In Rio,11-E-46,Schreiner,2005,
1293,1293-TB,American Goddess,11-E-34,Hooker Nichols,2013,
1294,1294-TB,Angel Girl,11-E-27,Francis Rogers,1999,
1295,1295-TB,Around We Go,11-E-30,Francis Rogers,2009,
1296,1296-TB,Artistic Touch,11-E-41,L. & K. Jedlicka,2008,
1297,1297-TB,Ashlee Noel,11-E-28,Donald Spoon,2014,
1298,1298-TB,Attirance,11-E-44,Richard Cayeux,2017,
1299,1299-TB,Autumn Explosion,11-E-33,Richard Tasco,2013,
1300,1300-TB,Autumn Jewel,11-E-20,Paul Black,2020,
1301,1301-TB,Autumn Ring,"9-W-43,  11-E-24",M .Sutton,2010,White/Wine/Yellow
1302,1302-TB,Beyond,11-E-42,James Gibson,1979,
1303,1303-TB,Black Friday,11-E-29,Schreiner,2020,
1304,1304-TB,Blackberry Torte,"11-W-68,  12-E-22",Michael Sutton,2020,
1305,1305-TB,Blinded By The Light,11-E-26,Larry Lauer,2017,
1306,1306-TB,Blow Your Horn,11-E-25,Hugh Stout,2020,
1307,1307-TB,Blowtorch,11-W-69,Monty Byers,1986,
1308,1308-TB,Bolshoi,"11-E-47,  C-36-5",Keith Keppel,2009,
1309,1309-TB,Born To Shine,11-W-65,Harold Stahly,2004,
1310,1310-TB,Bottled Sunburst,11-E-39,Donald Spoon,2017,
1311,1311-TB,Brazilian Art,11-E-43,Keith Keppel,2009,
